"fk_flights","localisation_fk","Date_fk","Price","Saison_Touristique","Nombre_Escales","Distance_Vol_KM","CANCELLED","Taxe_Price","Prix_Final"
"1","22","19520106","6992","0","0","1600","0","699","7724"
"2","22","19511207","7417","0","0","1600","0","742","8191"
"3","22","19530629","7417","0","1","1600","0","742","8171"
"4","22","19540120","2281","0","0","1400","0","228","2538"
"5","22","19540120","2281","0","0","1400","0","228","2538"
"6","22","19531226","3053","0","0","1400","0","305","3386"
"7","22","19531226","3053","0","0","1400","0","305","3386"
"8","22","19531231","4110","0","0","1400","0","411","4549"
"9","22","19531231","4110","0","0","1400","0","411","4549"
"10","22","19531231","4149","0","0","1400","0","415","4592"
"11","22","19520131","4582","0","0","1400","0","458","5068"
"12","22","19520131","4608","0","0","1400","0","461","5097"
"13","22","19520131","4758","0","2","1400","0","476","5222"
"14","22","19520131","4758","0","0","1400","0","476","5262"
"15","22","19520405","5185","0","1","1400","0","518","5712"
"16","22","19511212","5312","0","0","1400","0","531","5872"
"17","22","19531101","299","0","0","850","1","0","0"
"18","22","19531226","2186","0","1","1450","1","0","0"
"19","22","19531226","2212","0","0","1450","0","221","2462"
"20","22","19540120","2231","0","2","1450","0","223","2444"
"21","22","19540120","2231","0","0","1450","0","223","2484"
"22","22","19531226","2428","0","0","1450","0","243","2699"
"23","22","19531226","2428","0","0","1450","0","243","2699"
"24","22","19531226","2428","0","0","1450","0","243","2699"
"25","22","19531226","2428","0","1","1450","0","243","2679"
"26","22","19540120","2447","0","1","1450","0","245","2701"
"27","22","19540120","2447","0","0","1450","0","245","2721"
"28","22","19540120","2447","0","1","1450","1","0","0"
"29","22","19540120","2447","0","0","1450","0","245","2721"
"30","22","19540120","2447","0","2","1450","0","245","2681"
"31","22","19540120","2447","0","1","1450","0","245","2701"
"32","22","19531226","2467","0","0","1450","0","247","2742"
"33","22","19531231","2961","0","0","1450","0","296","3286"
"34","22","19531231","2961","0","0","1450","0","296","3286"
"35","22","19531231","3000","0","1","1450","0","300","3309"
"36","22","19520210","4521","0","0","1450","0","452","5002"
"37","22","19520210","4521","0","2","1450","0","452","4962"
"38","22","19520210","4547","0","2","1450","0","455","4991"
"39","22","19520210","4547","0","0","1450","0","455","5031"
"40","22","19520210","4551","0","0","1450","1","0","0"
"41","22","19520210","4551","0","0","1450","0","455","5035"
"42","22","19520405","5188","0","0","1450","0","519","5736"
"43","22","19520405","5188","0","1","1450","0","519","5716"
"44","22","19520405","5188","0","0","1450","0","519","5736"
"45","22","19511212","5623","0","0","1450","0","562","6215"
"46","22","19530520","5687","0","1","1450","1","0","0"
"47","22","19520510","5754","0","0","1450","0","575","6359"
"48","22","19520510","5754","0","2","1450","1","0","0"
"49","22","19531231","5754","0","2","1450","1","0","0"
"50","22","19520405","5767","0","0","1450","0","577","6373"
"51","22","19520301","6083","0","0","1450","0","608","6721"
"52","22","19520301","6083","0","2","1450","0","608","6681"
"53","22","19520301","6097","0","0","1450","0","610","6736"
"54","22","19520301","6097","0","1","1450","0","610","6716"
"55","22","19530629","6104","0","1","1450","0","610","6723"
"56","22","19511207","6104","0","2","1450","0","610","6703"
"57","22","19511207","6104","0","0","1450","0","610","6743"
"58","22","19520301","6130","0","0","1450","0","613","6772"
"59","22","19520301","6130","0","2","1450","0","613","6732"
"60","22","19520215","6187","0","1","1450","0","619","6815"
"61","22","19520215","6187","0","3","1450","0","619","6775"
"62","22","19520106","6235","0","0","1450","0","623","6887"
"63","22","19520106","6235","0","0","1450","0","623","6887"
"64","22","19520131","6267","0","0","1450","1","0","0"
"65","22","19520510","6880","0","2","1450","1","0","0"
"66","22","19520210","203","0","1","1100","1","0","0"
"67","22","19531226","4258","0","0","1100","1","0","0"
"68","22","19531226","2202","0","0","1250","0","220","2447"
"69","22","19531226","2202","0","0","1250","0","220","2447"
"70","22","19540120","2394","0","0","1250","1","0","0"
"71","22","19540120","2394","0","1","1250","1","0","0"
"72","22","19531226","2444","0","3","1250","0","244","2654"
"73","22","19531226","2444","0","1","1250","0","244","2694"
"74","22","19531226","2444","0","0","1250","0","244","2714"
"75","22","19531231","2945","0","0","1250","0","294","3264"
"76","22","19531231","2945","0","0","1250","0","294","3264"
"77","22","19531231","2945","0","0","1250","0","294","3264"
"78","22","19520131","4582","0","3","1250","0","458","5005"
"79","22","19520131","4582","0","2","1250","0","458","5025"
"80","22","19500121","1091","0","1","3800","0","164","1311"
"81","22","19550510","3374","0","0","3800","0","506","3956"
"82","22","19520510","4028","0","1","3800","0","604","4689"
"83","22","19511207","256","0","1","800","0","13","264"
"84","22","19530629","256","0","0","800","0","13","284"
"85","22","19520210","2803","0","0","3100","0","420","3285"
"86","22","19520210","2803","0","1","3100","0","420","3265"
"87","22","19550510","2874","0","0","3100","0","431","3367"
"88","22","19550510","2909","0","0","3100","0","436","3408"
"89","22","19500312","3013","0","0","3100","0","452","3526"
"90","22","19500312","3014","0","0","3100","0","452","3528"
"91","22","19520405","3215","0","1","3100","0","482","3739"
"92","22","19520301","3332","0","1","3100","0","500","3874"
"93","22","19550510","4594","0","1","3100","0","689","5325"
"94","22","19520405","6566","0","1","3100","0","985","7593"
"95","22","19511212","3200","0","1","1600","0","320","3532"
"96","22","19520131","3293","0","0","1600","0","329","3655"
"97","22","19520131","4042","0","0","1600","0","404","4478"
"98","22","19520131","4042","0","0","1600","0","404","4478"
"99","22","19520405","4330","0","0","1600","0","433","4795"
"100","22","19520405","4330","0","0","1600","0","433","4795"
"101","22","19540120","2447","0","1","1450","0","245","2701"
"102","22","19540120","2447","0","0","1450","0","245","2721"
"103","22","19540120","2447","0","0","1450","0","245","2721"
"104","22","19540120","2447","0","0","1450","1","0","0"
"105","22","19531226","2467","0","0","1450","0","247","2742"
"106","22","19531231","2961","0","0","1450","0","296","3286"
"107","22","19531231","2961","0","0","1450","0","296","3286"
"108","22","19531231","3000","0","0","1450","1","0","0"
"109","22","19520210","4521","0","0","1450","0","452","5002"
"110","22","19520210","4521","0","1","1450","1","0","0"
"111","22","19520210","4547","0","0","1450","0","455","5031"
"112","22","19520210","4547","0","0","1450","0","455","5031"
"113","22","19520210","4551","0","0","1450","0","455","5035"
"114","22","19520210","4551","0","0","1450","0","455","5035"
"115","22","19520405","5188","0","0","1450","1","0","0"
"116","22","19520405","5188","0","0","1450","0","519","5736"
"117","22","19520405","5188","0","0","1450","0","519","5736"
"118","22","19511212","5623","0","3","1450","0","562","6155"
"119","22","19530520","5687","0","0","1450","0","569","6285"
"120","22","19520510","5754","0","0","1450","0","575","6359"
"121","22","19520510","5754","0","0","1450","0","575","6359"
"122","22","19531231","5754","0","1","1450","0","575","6339"
"123","22","19520405","5767","0","0","1450","0","577","6373"
"124","22","19520301","6083","0","3","1450","0","608","6661"
"125","22","19520301","6083","0","0","1450","1","0","0"
"126","22","19520301","6097","0","0","1450","0","610","6736"
"127","22","19520301","6097","0","1","1450","0","610","6716"
"128","22","19530629","6104","0","0","1450","0","610","6743"
"129","22","19511207","6104","0","0","1450","0","610","6743"
"130","22","19511207","6104","0","3","1450","1","0","0"
"131","22","19520301","6130","0","0","1450","0","613","6772"
"132","22","19520301","6130","0","0","1450","0","613","6772"
"133","22","19520215","6187","0","0","1450","1","0","0"
"134","22","19520215","6187","0","0","1450","0","619","6835"
"135","22","19520106","6235","0","0","1450","1","0","0"
"136","22","19520106","6235","0","2","1450","0","623","6847"
"137","22","19520131","6267","0","0","1450","0","627","6923"
"138","22","19520510","6880","0","0","1450","1","0","0"
"139","22","19520210","203","0","0","1100","1","0","0"
"140","22","19531226","4258","0","0","1100","0","426","4705"
"141","22","19531226","2202","0","1","1250","0","220","2427"
"142","22","19531226","2202","0","0","1250","0","220","2447"
"143","22","19540120","2394","0","0","1250","0","239","2658"
"144","22","19540120","2394","0","0","1250","1","0","0"
"145","22","19531226","2444","0","0","1250","0","244","2714"
"146","22","19531226","2444","0","0","1250","0","244","2714"
"147","22","19531226","2444","0","2","1250","0","244","2674"
"148","22","19531231","2945","0","1","1250","0","294","3244"
"149","22","19531231","2945","0","3","1250","1","0","0"
"150","22","19531231","2945","0","0","1250","0","294","3264"
"151","22","19520131","4582","0","1","1250","0","458","5045"
"152","22","19520131","4582","0","0","1250","0","458","5065"
"153","22","19500121","1091","0","0","3800","0","164","1331"
"154","22","19550510","3374","0","0","3800","0","506","3956"
"155","22","19520510","4028","0","0","3800","0","604","4709"
"156","22","19530629","256","0","0","800","0","13","284"
"157","22","19540430","472","0","0","3100","0","71","604"
"158","22","19520131","2637","0","1","3100","0","396","3075"
"159","22","19520210","2803","0","0","3100","0","420","3285"
"160","22","19550510","2874","0","0","3100","0","431","3367"
"161","22","19520530","2874","0","0","3100","0","431","3367"
"162","22","19550510","2909","0","1","3100","0","436","3388"
"163","22","19520530","2912","0","0","3100","0","437","3411"
"164","22","19520510","3013","0","3","3100","0","452","3466"
"165","22","19500312","3013","0","0","3100","0","452","3526"
"166","22","19500312","3013","0","2","3100","0","452","3486"
"167","22","19520510","3014","0","0","3100","0","452","3528"
"168","22","19531221","3240","0","1","3100","0","486","3768"
"169","22","19531211","279","0","1","1400","0","28","315"
"170","22","19511212","3200","0","0","1600","0","320","3552"
"171","22","19520131","3293","0","0","1600","0","329","3655"
"172","22","19520405","4330","0","0","1600","0","433","4795"
"173","22","19520405","4330","0","1","1600","0","433","4775"
"174","22","19520210","4561","0","1","1600","0","456","5029"
"175","22","19531231","4705","0","1","1600","0","470","5187"
"176","22","19520510","4705","0","0","1600","0","470","5207"
"177","22","19520116","4771","0","1","1600","0","477","5260"
"178","22","19520510","4950","0","1","1600","0","495","5457"
"179","22","19520510","4950","0","0","1600","0","495","5477"
"180","22","19520510","5014","0","3","1600","0","501","5488"
"181","22","19531221","5407","0","1","1600","0","541","5960"
"182","22","19520111","7618","0","0","1600","0","762","8412"
"183","22","19520111","7618","0","1","1600","0","762","8392"
"184","22","19520210","8665","0","1","1600","0","866","9543"
"185","22","19520405","4595","0","0","2300","0","460","5101"
"186","22","19520405","4595","0","0","2300","0","460","5101"
"187","22","19520210","4772","0","0","1700","0","477","5284"
"188","22","19511212","4776","0","0","1700","0","478","5287"
"189","22","19520510","7604","0","0","1700","0","760","8399"
"190","22","19511212","262","0","0","750","0","13","290"
"191","22","19520510","8780","0","0","1100","0","878","9679"
"192","22","19520131","3644","0","0","1200","0","364","4033"
"193","22","19520405","4297","0","0","1200","0","430","4751"
"194","22","19520405","4297","0","1","1200","0","430","4731"
"195","22","19520210","5007","0","0","1200","0","501","5532"
"196","22","19511212","6806","0","1","1200","1","0","0"
"197","22","19520131","4329","0","3","1400","1","0","0"
"198","22","19520131","4329","0","0","1400","0","433","4790"
"199","22","19520405","445","0","0","1500","0","45","520"
"200","22","19520131","3758","0","0","1500","0","376","4164"
"201","22","19520405","5767","0","0","1450","0","577","6373"
"202","22","19520301","6083","0","3","1450","0","608","6661"
"203","22","19520301","6083","0","0","1450","0","608","6721"
"204","22","19520301","6097","0","0","1450","0","610","6736"
"205","22","19530629","6104","0","2","1450","0","610","6703"
"206","22","19511207","6104","0","0","1450","0","610","6743"
"207","22","19511207","6104","0","2","1450","0","610","6703"
"208","22","19520111","6235","0","0","1450","0","623","6887"
"209","22","19520111","6235","0","0","1450","1","0","0"
"210","22","19520306","6265","0","0","1450","1","0","0"
"211","22","19520306","6265","0","1","1450","0","627","6901"
"212","22","19520306","6265","0","0","1450","0","627","6921"
"213","22","19520306","6528","0","1","1450","0","653","7190"
"214","22","19540410","6823","0","1","1450","0","682","7515"
"215","22","19520510","6880","0","1","1450","0","688","7577"
"216","22","19520405","7891","0","1","1450","0","789","8689"
"217","22","19520210","203","0","0","1100","0","20","245"
"218","22","19520405","5403","0","0","1250","1","0","0"
"219","22","19540410","5652","0","0","1250","0","565","6242"
"220","22","19520510","5916","0","0","1250","0","592","6533"
"221","22","19520405","5930","0","0","1250","1","0","0"
"222","22","19520405","7871","0","1","1250","1","0","0"
"223","22","19511212","8718","0","1","1250","0","872","9595"
"224","22","19520111","8919","0","0","1250","0","892","9836"
"225","22","19500121","1091","0","0","3800","0","164","1331"
"226","22","19540619","3244","0","1","3800","0","487","3787"
"227","22","19520510","4028","0","0","3800","0","604","4709"
"228","22","19511207","256","0","1","800","0","13","264"
"229","22","19530629","256","0","0","800","1","0","0"
"230","22","19520131","2637","0","1","3100","0","396","3075"
"231","22","19520210","2803","0","0","3100","0","420","3285"
"232","22","19520210","2803","0","0","3100","0","420","3285"
"233","22","19550510","2874","0","3","3100","0","431","3307"
"234","22","19520530","2874","0","0","3100","0","431","3367"
"235","22","19550510","2909","0","0","3100","0","436","3408"
"236","22","19520530","2912","0","0","3100","0","437","3411"
"237","22","19500312","3013","0","0","3100","0","452","3526"
"238","22","19550510","4594","0","1","3100","0","689","5325"
"239","22","19550214","279","0","0","1400","0","28","335"
"240","22","19511212","3200","0","0","1600","0","320","3552"
"241","22","19520131","3293","0","0","1600","0","329","3655"
"242","22","19530629","3416","0","0","1600","0","342","3789"
"243","22","19531231","4066","0","0","1600","0","407","4505"
"244","22","19520405","4330","0","0","1600","0","433","4795"
"245","22","19520405","4330","0","1","1600","0","433","4775"
"246","22","19520210","4342","0","3","1600","0","434","4748"
"247","22","19520505","4705","0","3","1600","0","470","5147"
"248","22","19520116","4771","0","0","1600","0","477","5280"
"249","22","19531226","4771","0","3","1600","0","477","5220"
"250","22","19531226","4771","0","0","1600","0","477","5280"
"251","22","19520410","5151","0","0","1600","0","515","5698"
"252","22","19520410","5151","0","0","1600","0","515","5698"
"253","22","19520410","5366","0","0","1600","0","537","5935"
"254","22","19520410","5366","0","0","1600","0","537","5935"
"255","22","19520410","5366","0","0","1600","0","537","5935"
"256","22","19531221","5407","0","1","1600","0","541","5960"
"257","22","19531231","6512","0","0","1600","0","651","7196"
"258","22","19531231","6512","0","2","1600","0","651","7156"
"259","22","19531226","7786","0","0","1600","0","779","8597"
"260","22","19520405","4595","0","1","2300","0","460","5081"
"261","22","19520405","4595","0","0","2300","0","460","5101"
"262","22","19520410","4145","0","0","1700","0","414","4593"
"263","22","19520410","4241","0","0","1700","0","424","4699"
"264","22","19511212","262","0","0","750","0","13","290"
"265","22","19531226","5684","0","0","750","1","0","0"
"266","22","19520410","5323","0","0","1100","0","532","5877"
"267","22","19531226","5601","0","1","1100","0","560","6164"
"268","22","19520410","4098","0","1","1300","0","410","4514"
"269","22","19520410","4098","0","0","1300","1","0","0"
"270","22","19531226","289","0","0","1200","0","29","342"
"271","22","19520410","3105","0","1","1200","0","311","3420"
"272","22","19520410","3105","0","1","1200","0","311","3420"
"273","22","19531231","3136","0","1","1200","0","314","3454"
"274","22","19540326","4535","0","1","1200","1","0","0"
"275","22","19511207","5822","0","3","1200","0","582","6368"
"276","22","19531231","5953","0","0","1200","0","595","6572"
"277","22","19520405","6945","0","2","1200","0","695","7624"
"278","22","19520405","6945","0","1","1200","0","695","7644"
"279","22","19531231","2767","0","0","1400","0","277","3072"
"280","22","19531226","2886","0","3","1400","0","289","3142"
"281","22","19520410","2925","0","2","1400","0","292","3205"
"282","22","19520410","2925","0","1","1400","1","0","0"
"283","22","19520131","4329","0","1","1400","0","433","4770"
"284","22","19520131","4329","0","2","1400","1","0","0"
"285","22","19520410","4883","0","2","1000","0","488","5351"
"286","22","19531226","5188","0","1","1000","0","519","5706"
"287","22","19531226","5266","0","1","1000","0","527","5792"
"288","22","19520131","5670","0","0","1000","0","567","6258"
"289","22","19520131","5670","0","0","1000","0","567","6258"
"290","22","19520505","8343","0","2","1000","0","834","9157"
"291","22","19520131","8375","0","0","1000","0","838","9233"
"292","22","19520405","445","0","0","1500","0","45","520"
"293","22","19520131","3758","0","1","1500","0","376","4144"
"294","22","19531231","3908","0","1","1500","0","391","4309"
"295","22","19511207","3930","0","0","1500","0","393","4352"
"296","22","19520210","4043","0","1","1500","0","404","4457"
"297","22","19511212","4081","0","1","1500","0","408","4499"
"298","22","19531221","4498","0","3","1500","0","450","4918"
"299","22","19520116","4606","0","0","1500","0","461","5097"
"300","22","19520410","5023","0","0","1500","0","502","5555"
"301","22","19531226","7218","0","0","1500","0","722","7969"
"302","22","19531226","7218","0","0","1500","0","722","7969"
"303","22","19520210","299","0","0","900","0","15","332"
"304","22","19520505","518","0","0","600","0","26","556"
"305","22","19520410","318","0","2","1600","0","32","342"
"306","22","19531231","2295","0","1","1600","0","230","2537"
"307","22","19531226","3083","0","3","1600","0","308","3363"
"308","22","19531226","3083","0","0","1600","0","308","3423"
"309","22","19520505","3986","0","1","1600","0","399","4397"
"310","22","19520405","4003","0","0","1600","0","400","4435"
"311","22","19520405","4003","0","1","1600","0","400","4415"
"312","22","19520210","4044","0","0","1600","0","404","4480"
"313","22","19520210","4047","0","0","1600","0","405","4484"
"314","22","19520131","4611","0","2","1600","0","461","5064"
"315","22","19520210","5339","0","0","1600","0","534","5905"
"316","22","19520116","6257","0","0","1600","0","626","6915"
"317","22","19511212","6791","0","0","1600","0","679","7502"
"318","22","19531231","6992","0","0","1600","0","699","7724"
"319","22","19511207","7417","0","0","1600","0","742","8191"
"320","22","19530629","7417","0","1","1600","0","742","8171"
"321","22","19520410","2281","0","1","1400","0","228","2518"
"322","22","19520410","2281","0","0","1400","0","228","2538"
"323","22","19531226","3053","0","1","1400","0","305","3366"
"324","22","19531231","4110","0","0","1400","0","411","4549"
"325","22","19531231","4110","0","0","1400","0","411","4549"
"326","22","19531231","4149","0","1","1400","0","415","4572"
"327","22","19520131","4582","0","2","1400","1","0","0"
"328","22","19520131","4758","0","2","1400","0","476","5222"
"329","22","19520405","6067","0","3","1400","0","607","6642"
"330","22","19531101","299","0","0","850","0","15","331"
"331","22","19531226","2186","0","1","1450","0","219","2413"
"332","22","19531226","2212","0","2","1450","0","221","2422"
"333","22","19520410","2231","0","1","1450","0","223","2464"
"334","22","19520410","2231","0","0","1450","0","223","2484"
"335","22","19531226","2428","0","0","1450","0","243","2699"
"336","22","19531226","2428","0","0","1450","0","243","2699"
"337","22","19531226","2428","0","0","1450","0","243","2699"
"338","22","19531226","2428","0","1","1450","0","243","2679"
"339","22","19520410","2447","0","0","1450","0","245","2721"
"340","22","19520410","2447","0","0","1450","0","245","2721"
"341","22","19531226","2467","0","1","1450","0","247","2722"
